issue_id,severity,issue_type,file_path,line_numbers,context,impact,suggested_fix
BARE_EXCEPT_001,CRITICAL,"Bare Except Clause","tests/test_ac_ar_010_03_imports.py","42,66,385","Import validation tests with bare except: silently masking errors","Silent failures hide actual problems making debugging extremely difficult","Replace bare except: with specific exception types and add logging"
BARE_EXCEPT_002,CRITICAL,"Bare Except Clause","tests/unit/test_conversation_protocol_transactions.py","136,195","Protocol transaction tests with bare except: hiding transaction failures","Test failures go undetected masking bugs in transaction handling","Add specific exception handling and log failures"
BARE_EXCEPT_003,CRITICAL,"Bare Except Clause","cortex/brain/mcp/tools/validate_consolidation.py","205","File hash computation with bare except returns ERROR_READING_FILE","Silent failures prevent proper error diagnosis","Raise specific exceptions or log with full context"
DB_CONN_LEAK_001,CRITICAL,"Database Connection Leak","cortex/tools/toolkit/ac_fix_001_06_regenerate.py","43,46,66","Script opens sqlite3 connection without proper cleanup or context manager","Connections leak in long-running processes exhausting connection limits","Use with statement for all DB connections: with sqlite3.connect() as conn:"
RESOURCE_CLEANUP_001,CRITICAL,"Missing Resource Cleanup","cortex/infrastructure/connection_pool.py","300,383","Connection cleanup with except Exception: pass silently suppresses errors","Dead connections remain in pool causing resource exhaustion","Log all exceptions before suppressing and implement cleanup retry logic"
EXCEPTION_SUPPRESS_001,CRITICAL,"Broad Exception Suppression","cortex/infrastructure/database.py","89,105,270","Database operations with except Exception: pass hide real failures","Cannot identify why database operations fail in production","Replace with specific exception handling and mandatory logging"
EXCEPTION_SUPPRESS_002,CRITICAL,"Broad Exception Suppression","cortex/infrastructure/audit_logger.py","106","Lock release with except Exception: pass can leave file handles open","File locks persist blocking subsequent operations and descriptor exhaustion","Always log lock failures and add guard to ensure cleanup"
SPOF_POOL_001,CRITICAL,"Single Point of Failure","cortex/infrastructure/connection_pool.py","150,200","Health check failure causes immediate acquisition failure with no fallback","Single failed health check cascades to application failure","Implement exponential backoff retry and fresh connection fallback"
UNHANDLED_PARSE_001,CRITICAL,"Unhandled Exception","cortex/brain/mcp/tools/validate_consolidation.py","225,240","YAML/JSON parsing without specific exception handling in critical path","Configuration validation silently fails or crashes without diagnosis","Catch yaml.YAMLError and json.JSONDecodeError separately with recovery"
BROAD_EXCEPT_001,HIGH,"Broad except Exception:","tests/unit/governance/test_ac_gc_008_01_comprehensive_validation.py","75,83,91,104,111,118","Test assertions with broad except Exception: hiding test failures","Multiple test failures go undetected masking bugs","Replace with specific exception handling for each test case"
