Priority,Gap Type,File/Page,Description,Estimated Time,Phase,Status
P1-CRITICAL,NEW PAGE,cortex-lens-output/views/plan-viewer.html,Plan Viewer UI with progress tracking and cross-linking,1h,7b,NOT STARTED
P1-CRITICAL,NEW PAGE,docs/orchestrators/planning-v5-epic-vs-feature.html,Epic vs. Feature workflow guide with decision tree,1h,7b,NOT STARTED
P1-CRITICAL,PAGE UPDATE,cortex-lens-output/index.html,Add Plan Viewer tab to navigation,15min,7b,NOT STARTED
P2-HIGH,CONTENT FILL,docs/orchestrators/refinement-orchestrator.html,7-phase refinement workflow documentation,1h,7b,STUB EXISTS
P2-HIGH,CONTENT FILL,docs/orchestrators/debug-orchestrator.html,Error analysis workflow documentation,1h,7b,STUB EXISTS
P2-HIGH,PAGE UPDATE,docs/orchestrators/index.html,Add Refinement + Debug tiles (8 → 10 orchestrators),30min,7b,NOT STARTED
P2-HIGH,DIAGRAM UPDATE,docs/architecture/orchestrator-ecosystem.html,Update ecosystem diagram (8 → 10 orchestrators),30min,7b,NOT STARTED
P3-MEDIUM,NEW SECTION,docs/orchestrators/planning-v5.html,Phase -1 Knowledge Library documentation,30min,7c,NOT STARTED
P3-MEDIUM,NEW SECTION,docs/orchestrators/planning-v5.html,AST Scanning Integration documentation,30min,7c,NOT STARTED
P3-MEDIUM,NEW PAGE,docs/features/context-middleware.html,Context Middleware detailed guide,45min,7c,NOT STARTED
P3-MEDIUM,NEW SECTION,docs/orchestrators/planning-v5.html,Visual Progress Generation documentation,30min,7c,NOT STARTED
P3-MEDIUM,NEW SECTION,docs/governance/skull-rulebook.html,REFACTOR Enforcement detailed docs,30min,7c,NOT STARTED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/plan-viewer-architecture.mmd,Plan Viewer architecture + data flow Mermaid diagram,30min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/epic-vs-feature-decision-tree.mmd,Epic vs. Feature decision tree Mermaid flowchart,30min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/plan-repo-lens-cross-linking.mmd,Cross-linking sequence diagram,30min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/phase-minus-1-knowledge-library-flow.mmd,Phase -1 flow Mermaid flowchart,20min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/ast-scanning-planning-v5.mmd,AST Scanning integration flowchart,20min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/context-middleware-priority-logic.mmd,Context Middleware priority sequence diagram,20min,7d,SPEC CREATED
P4-LOW,NEW DIAGRAM,artifacts/diagram-updates/10-orchestrator-ecosystem.mmd,Updated 10-orchestrator ecosystem diagram,30min,7d,SPEC CREATED
P4-LOW,LINK UPDATE,Multiple files,Update cross-references and navigation links,20min,7d,NOT STARTED
