# CORTEX Optional Development Tools (Lazy-Loaded)
# Install with: pip install -r optional-requirements.txt
# Auto-installed when first used by these commands:
# - validate lint → flake8, pylint
# - format code → black
# - check types → mypy
# - analyze complexity → radon
# - analyze dead-code → vulture

# Code Formatting
black>=24.12.0  # Python code formatter

# Code Linting
flake8>=7.1.1  # Python linter (style guide enforcement)
pylint>=3.3.4  # Code quality checker (advanced static analysis)

# Type Checking
mypy>=1.14.2  # Static type checker

# Code Analysis
radon>=6.0.1  # Code complexity metrics
vulture>=2.14  # Dead code detection

# Dashboard Testing (Python-based browser automation)
selenium>=4.15.0  # Browser automation for dashboard testing
beautifulsoup4>=4.12.0  # HTML parsing and validation
pytest-selenium>=4.0.0  # pytest integration for Selenium
